id,UP,RIGHT,DOWN,LEFT
0,0,0,1,0
1,0,0,1,0
2,0,0,1,0
3,0,0,1,0
4,1,2,0,0
5,1,2,0,0
6,1,2,0,0
7,1,2,0,0
8,0,0,1,2
9,0,0,1,2
10,0,0,1,2
11,0,0,1,2
12,1,0,1,0
13,1,0,1,0
14,1,0,1,0
15,1,0,1,0
16,0,0,0,2
17,0,2,1,0
18,0,2,1,0
19,0,2,1,0
20,0,2,1,0
21,0,2,0,0
22,0,0,0,0
23,0,2,0,2
24,3,0,1,0
25,3,0,1,0
26,3,2,1,0
27,3,0,0,0
28,3,0,3,0
29,1,2,1,2
30,1,2,1,2
31,1,2,1,2
32,1,2,1,2
33,1,0,1,2
34,1,0,1,2
35,1,0,1,2
36,1,0,1,2
37,3,2,3,2
38,1,2,1,0
39,1,2,1,0
40,1,2,1,0
41,1,2,1,0
42,1,0,0,2
43,0,2,3,0
44,0,0,3,0
45,1,2,3,0
46,0,2,3,2
47,0,0,3,2
